"FeatureClass	FeatureCode	Navn	Merknad	BokmÌ´l	Nynorsk	Kvensk	Finsk	Engelsk";
"H	MFGN	salt evaporation ponds	diked salt ponds used in the production of solar evaporated salt	saltutvinningsbasseng	saltutvinningsbasseng	suola-allas	suolan hÌ¦yrystÌ_minen	salt evaporation ponds";
"H	MGV	mangrove swamp	a tropical tidal mud flat characterized by mangrove vegetation	mangrovesump	mangrovesump	mangruuvejÌ_nkkÌ_	mangrovesuo	mangrove swamp";
"H	MOOR	moor(s)	an area of open ground overlaid with wet peaty soils	mo	mo	kangas	suo	moor";
"H	MRSH	marsh(es)	a wetland dominated by grass-like vegetation	myr	myr	jÌ_nkkÌ_	suo	marsh";
"H	MRSHN	salt marsh	a flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants	marskland	marskland	marskimaa	marsk-maa	salt marsh";
"H	NRWS	narrows	a navigable narrow part of a bay, strait, river, etc.	sund	sund	salmenvÌ_ylÌ_	kapea lahti	narrows";
"H	OCN	ocean	one of the major divisions of the vast expanse of salt water covering part of the earth	hav	hav	meri	valtameri	ocean";
"H	OVF	overfalls	an area of breaking waves caused by the meeting of currents or by waves moving against the current	brenninger	brenningar	taittheet	hyÌ¦kyaalto alue	overfalls";
"H	PND	pond	a small standing waterbody	tjern	tjÌürn	lompolo	lampi	pond";
"H	PNDI	intermittent pond		tilbakevendende tjern	tilbakevendande tjÌürn	pallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolopallaava lompolo	vÌ_liaikainen lampi	intermittent pond";
"H	PNDN	salt pond	a small standing body of salt water often in a marsh or swamp, usually along a seacoast	saltvannsdam	saltvassdam	suolavesipato	suola-allas	salt pond";
"H	PNDNI	intermittent salt pond(s)		tilbakevendende saltvannsdam	tilbakevendande saltvassdam	pallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipatopallaava suolavesipato	vÌ_liaikainen suola-allas	intermittent salt pond";
"H	PNDS	ponds	small standing waterbodies	dammer	dammar	lantot	lammet	ponds";
"H	PNDSF	fishponds	ponds or enclosures in which fish are kept or raised	fiskedammer	fiskedammar	kalataras	kalalampi	fishponds";
"H	PNDSI	intermittent ponds		tilbakevendende dammer	tilbakevendande dammar	pallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lanttopallaava lantto	vÌ_liaikainen kalalampi	intermittent ponds";
"H	PNDSN	salt ponds	small standing bodies of salt water often in a marsh or swamp, usually along a seacoast	saltvannsdammer	saltvassdammar	suolavesialthaat	suola-altaat	salt ponds";
"H	POOL	pool(s)	a small and comparatively still, deep part of a larger body of water such as a stream or harbor";" or a small body of standing water	kulp	kulp	fielma	allas	pool"
"H	POOL	pool(s)	a small and comparatively still, deep part of a larger body of water such as a stream or harbor";" or a small body of standing water	kulp	kulp	jorma	allas	pool"
"H	POOLI	intermittent pool		tilbakevendende kulp	tilbakevendande kulp	pallaava fielma	vÌ_liaikainen allas	intermittent pool";
"H	POOLI	intermittent pool		tilbakevendende kulp	tilbakevendande kulp	pallaava jorma	vÌ_liaikainen allas	intermittent pool";
"H	RCH	reach	a straight section of a navigable stream or channel between two bends	rett elve- eller kanalstrekning	rett elve- eller kanalstrekning	suora joven tahi kanaalin osa	kanavan osa	reach";
"H	RDGG	icecap ridge	a linear elevation on an icecap	iskapperygg	iskapperygg	jÌ_Ì_tikÌ¦n sÌ¦lkÌ_	laatan raja	icecap ridge";
"H	RDST	roadstead	an open anchorage affording less protection than a harbor	Ì´pen ankerplass	open ankerplass	ankkuripaikka	ankkurointipaikka	roadstead";
"H	RF	reef(s)	a surface-navigation hazard composed of consolidated material	rev	rev	rantapankki	riutta	reef";
"H	RFC	coral reef(s)	a surface-navigation hazard composed of coral	korallrev	korallrev	korallipankki	koralliriutta	coral reef";
"H	RFX	section of reef		del av rev	del av rev	rantapankin osa	riutan osa	section of reef";
"H	RPDS	rapids	a turbulent section of a stream associated with a steep, irregular stream bed	stryk	stryk	koski	virta	rapids";
"H	RSV	reservoir(s)	an artificial pond or lake	reservoar	reservoar	reservuaari	tekoallas	reservoir";
"H	RSVI	intermittent reservoir		tilbakevendende reservoar	tilbakevendande reservoar	pallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaaripallaava reservuaari	vÌ_liaikainen tekoallas	intermittent reservoir";
"H	RSVT	water tank	a contained pool or tank of water at, below, or above ground level	vanntank	vasstank	vesitankki	vesisÌ_iliÌ¦	water tank";
"H	RVN	ravine(s)	a small, narrow, deep, steep-sided stream channel, smaller than a gorge	ravine	ravine	kursu	rotko/kuilu	ravine";
"H	SBKH	sabkha(s)	a salt flat or salt encrusted plain subject to periodic inundation from flooding or high tides	sabkha (oversvÌümt omrÌ´de)	sabkha (overflÌüdd omrÌ´de)	sabkha	sabkha, suolarÌ_meikkÌ¦	sabkha";
"H	SBKH	sabkha(s)	a salt flat or salt encrusted plain subject to periodic inundation from flooding or high tides	sabkha (oversvÌümt omrÌ´de)	sabkha (overflÌüdd omrÌ´de)	rÌ_ssi	sabkha, suolarÌ_meikkÌ¦	sabkha";
"H	SD	sound	a long arm of the sea forming a channel between the mainland and an island or islands";" or connecting two larger bodies of water	sund	sund	nuora	lahti	sound"
"H	SEA	sea	a large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean	sjÌü	sjÌü	meri	meri	sea";
"H	SHOL	shoal(s)	a surface-navigation hazard composed of unconsolidated material	sandgrunne	sandgrunne	hietamatala	kari	shoal";
