"Lemma","POS","trans","tPOS","1stamme","2stamme","syntrans","syntransPOS","syntrans2","syntrans2POS","syntrans3","syntrans3POS","syneks","syneks2","syneks3"
"sekanen","adj","rotete",,"sekase-","sekas-","uryddig",,,,,,,,
"lamu","adj","vid",,"lammu-",,"utstrakt",,,,,,,,
"tuoret","adj","fersk","a1","tuorhee-","-","fuktig",,,,,,,,
"laho","adj","morken","a1","lahho-",,"råtten","a1",,,,,,,
"vesinen","adj","vannete",,"vesise-","vesis-","våt",,,,,,,,
"ryssä","adj","russisk",,"-","-",,,,,,,,,
"ruottii","adj","svensk",,"-","-",,,,,,,,,
"uskomaton","adj","utrolig",,"uskomattoma-","-",,,,,,,,,
"väsyny","adj","trøtt",,"väsynhee-","väsynyt-",,,,,,,,,
"muikkee","adj","sur",,"-","-",,,,,,,,,
"loiva","adj","svakt hellende",,"-","-",,,,,,,,,
"velvolinen","adj","ansvarlig",,"velvolise-","velvolis-",,,,,,,,,
"mukkanen","adj","komplisert",,"mukkase-","mukkas-","svingete",,,,,,,,
"viisas","adj","klok","a1","viishaa-","-","vis","a1",,,,,,,
"vissi","adj","sikker","a1","-","-","viss","a1",,,,,,,
"vissi","adj","sikker","a1","-","-","viss","a1",,,,,,,
"heikko","adj","svak","a1","heiko-","-",,,,,,,,,
"keskimäinen","adj","midterste",,"keskimäise-","keskimäis-",,,,,,,,,
"muutamanlainen","adj","enslags",,"muutamanlaise-","muutamanlais-",,,,,,,,,
"tuhanen","adj","tusen","m","tuhase-","tuhat-",,,,,,,,,
"kostee","adj","fuktig",,"-","-","våt",,,,,,,,
"kiilttäävä","adj","glinsende",,"-","-","lysende",,,,,,,,
"täysi","adj","full","a1","täyðe-","täyt-","voksen",,,,,,,,
"täysi","adj","full","a1","täyðe-","täyt-","voksen",,,,,,,,
"villi","adj","vill",,"-","-","voldsom",,,,,,,,
"loputon","adj","endeløs","a1","loputtoma-","-",,,,,,,,,
"vaaleesininen","adj","lyseblå –tt",,"vaaleesinise-","vaaleesinis-",,,,,,,,,
"kova","adj","hård","a1","kovva-",,"sterk –t",,"stiv","a1",,,,,
"kova","adj","hård","a1","kovva-",,"sterk –t",,"stiv","a1",,,,,
"auttii","adj","øde",,"-","-",,,,,,,,,
"jouttaava","adj","unødvendig",,"-","-",,,,,,,,,
"semmonen","adj","slik","a1","semmose-","semmos-","sådan –t",,"sån|n","a1",,,,,
"väkkeevä","adj","sterk",,"-","-",,,,,,,,,
"raitalinen","adj","stripet",,"raitalise-","raitalis-",,,,,,,,,
"ruma","adj","dæven",,"rumma-",,"styg|g","a1",,,,,,,
"kolo","adj","forferdelig",,"kollo-",,"stygg",,,,,,,,
"hoikka","adj","slank","a1","hoika-","-","smal –t",,"tyn|n","a1",,,,,
"puhelias","adj","pratsom",,"puhelihaa-","-","snakkesalig",,,,,,,,
"puhelias","adj","pratsom",,"puhelihaa-","-","snakkesalig",,,,,,,,
"kirkas","adj","lys",,"kirkhaa-","-","blank",,,,,,,,
"tarpheelinen","adj","nødvendig",,"tarpheelise-","tarpheelis-",,,,,,,,,
"hoikka","adj","slank","a1","hoika-","-","smal –t",,"tyn|n","a1",,,,,
"notkee","adj","smidig",,"-","-","spenstig",,,,,,,,
"ittenäinen","adj","selvstendig",,"ittenäise-","ittenäis-","sjølstendig",,,,,,,,
"ravistunu","adj","blitt utett",,"ravistunhe-","ravistut-","sprukket",,,,,,,,
"varhain","adj","tidlig",,"varhaime-","-",,,,,,,,,
